MTU (CET/CEST),Area,Sequence,Day-ahead Price (EUR/MWh),Intraday Period (CET/CEST),Intraday Price (EUR/MWh)
08/01/2023 19:00:00 - 08/01/2023 20:00:00,BZN|NL,Without Sequence,109.44,,
08/01/2023 20:00:00 - 08/01/2023 21:00:00,BZN|NL,Without Sequence,104.41,,
08/01/2023 21:00:00 - 08/01/2023 22:00:00,BZN|NL,Without Sequence,98.65,,
08/01/2023 22:00:00 - 08/01/2023 23:00:00,BZN|NL,Without Sequence,99.38,,
08/01/2023 23:00:00 - 09/01/2023 00:00:00,BZN|NL,Without Sequence,81.34,,
09/01/2023 00:00:00 - 09/01/2023 01:00:00,BZN|NL,Without Sequence,75.13,,
09/01/2023 01:00:00 - 09/01/2023 02:00:00,BZN|NL,Without Sequence,64.38,,
09/01/2023 02:00:00 - 09/01/2023 03:00:00,BZN|NL,Without Sequence,60.28,,
09/01/2023 03:00:00 - 09/01/2023 04:00:00,BZN|NL,Without Sequence,39.41,,
09/01/2023 04:00:00 - 09/01/2023 05:00:00,BZN|NL,Without Sequence,43.12,,
09/01/2023 05:00:00 - 09/01/2023 06:00:00,BZN|NL,Without Sequence,69.07,,
09/01/2023 06:00:00 - 09/01/2023 07:00:00,BZN|NL,Without Sequence,107.13,,
09/01/2023 07:00:00 - 09/01/2023 08:00:00,BZN|NL,Without Sequence,160,,
09/01/2023 08:00:00 - 09/01/2023 09:00:00,BZN|NL,Without Sequence,180,,
09/01/2023 09:00:00 - 09/01/2023 10:00:00,BZN|NL,Without Sequence,177.16,,
09/01/2023 10:00:00 - 09/01/2023 11:00:00,BZN|NL,Without Sequence,159.13,,
09/01/2023 11:00:00 - 09/01/2023 12:00:00,BZN|NL,Without Sequence,160.78,,
09/01/2023 12:00:00 - 09/01/2023 13:00:00,BZN|NL,Without Sequence,141,,
09/01/2023 13:00:00 - 09/01/2023 14:00:00,BZN|NL,Without Sequence,142.07,,
09/01/2023 14:00:00 - 09/01/2023 15:00:00,BZN|NL,Without Sequence,138.97,,
09/01/2023 15:00:00 - 09/01/2023 16:00:00,BZN|NL,Without Sequence,151.23,,
09/01/2023 16:00:00 - 09/01/2023 17:00:00,BZN|NL,Without Sequence,162.04,,
09/01/2023 17:00:00 - 09/01/2023 18:00:00,BZN|NL,Without Sequence,174.27,,
09/01/2023 18:00:00 - 09/01/2023 19:00:00,BZN|NL,Without Sequence,182.18,,
09/01/2023 19:00:00 - 09/01/2023 20:00:00,BZN|NL,Without Sequence,170.24,,
09/01/2023 20:00:00 - 09/01/2023 21:00:00,BZN|NL,Without Sequence,160.51,,
09/01/2023 21:00:00 - 09/01/2023 22:00:00,BZN|NL,Without Sequence,138.93,,
09/01/2023 22:00:00 - 09/01/2023 23:00:00,BZN|NL,Without Sequence,132,,
09/01/2023 23:00:00 - 10/01/2023 00:00:00,BZN|NL,Without Sequence,108.31,,
10/01/2023 00:00:00 - 10/01/2023 01:00:00,BZN|NL,Without Sequence,106.01,,
10/01/2023 01:00:00 - 10/01/2023 02:00:00,BZN|NL,Without Sequence,96.72,,
10/01/2023 02:00:00 - 10/01/2023 03:00:00,BZN|NL,Without Sequence,95.15,,
10/01/2023 03:00:00 - 10/01/2023 04:00:00,BZN|NL,Without Sequence,90.33,,
10/01/2023 04:00:00 - 10/01/2023 05:00:00,BZN|NL,Without Sequence,95.61,,
10/01/2023 05:00:00 - 10/01/2023 06:00:00,BZN|NL,Without Sequence,108.6,,
10/01/2023 06:00:00 - 10/01/2023 07:00:00,BZN|NL,Without Sequence,138.13,,
10/01/2023 07:00:00 - 10/01/2023 08:00:00,BZN|NL,Without Sequence,156,,
10/01/2023 08:00:00 - 10/01/2023 09:00:00,BZN|NL,Without Sequence,220,,
10/01/2023 09:00:00 - 10/01/2023 10:00:00,BZN|NL,Without Sequence,222,,
10/01/2023 10:00:00 - 10/01/2023 11:00:00,BZN|NL,Without Sequence,163.52,,
10/01/2023 11:00:00 - 10/01/2023 12:00:00,BZN|NL,Without Sequence,147.6,,
10/01/2023 12:00:00 - 10/01/2023 13:00:00,BZN|NL,Without Sequence,141.25,,
10/01/2023 13:00:00 - 10/01/2023 14:00:00,BZN|NL,Without Sequence,141.68,,
